date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:06	78861/78861	---M--	200	added ('OK')	image/png	etag:%221340d-5902ca0c-d65c5d103566a8b6;;;%22	http://demo.templateocean.com/premium/template/kane/files/images/single-iphone.png	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/files/images/single-iphone.png	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:11	106862/106862	---M--	200	added ('OK')	image/png	etag:%221a16e-5902ca0c-ac57befd2e155dd1;;;%22	http://demo.templateocean.com/premium/template/kane/files/images/2-iphone-right.png	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/files/images/2-iphone-right.png	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:15	69044/69044	---M--	200	added ('OK')	image/jpeg	etag:%2210db4-5902ca0c-2dd1e548e7579cbb;;;%22	http://demo.templateocean.com/premium/template/kane/files/images/screenshots/1.jpg	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/files/images/screenshots/1.jpg	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:15	133481/133481	---M--	200	added ('OK')	image/png	etag:%2220969-5902ca0c-241ef08b1460e9be;;;%22	http://demo.templateocean.com/premium/template/kane/files/images/2-iphone-left.png	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/files/images/2-iphone-left.png	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:16	7677/7677	---M-Z	200	added ('OK')	application/javascript	etag:%221dfd-59023d6e-bda365703a2147ee;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/smoothscroll.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/smoothscroll.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:16	2589/2589	---M-Z	200	added ('OK')	application/javascript	etag:%22a1d-59023d6e-3efc881995185af;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.scrollTo.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.scrollTo.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:17	1488/1488	---M-Z	200	added ('OK')	application/javascript	etag:%225d0-59023d6e-bb00587dc25e3b08;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.localScroll.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/jquery.localScroll.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:17	6775/6775	---M-Z	200	added ('OK')	application/javascript	etag:%221a77-59023d6e-6d00844d0aad7277;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/nivo-lightbox.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/nivo-lightbox.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:18	14916/14916	---M-Z	200	added ('OK')	application/javascript	etag:%223a44-59023d6e-269b0d11446c9069;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/owl.carousel.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/owl.carousel.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:18	3959/3959	---M-Z	200	added ('OK')	application/javascript	etag:%22f77-59023d6e-b0f44a107333896e;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/simple-expand.min.js	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/js/simple-expand.min.js	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
